model,dataset,scenario,macro_f1,macro_recall,macro_precision,micro_f1,micro_recall,micro_precision,weighted_f1,hit_at_3,hit_at_5,mrr,map,hamming_loss,train_sec,vram_mb,total_test_labels,missed_labels,missed_pct
TextCNN,cti-mitre,G1,0.3397283540817467,0.32320281123404804,0.42065416450979964,0.468682505399568,0.5042602633617351,0.4377942165433759,0.5298618421699938,0.7378829003489724,0.7782086079875921,0.6785637622122116,0.6781767811905045,0.006088455858695024,110.47713828086853,,188,57,30.319148936170215
TextCNN,cti-mitre,B2,0.34502776238994187,0.324974974987642,0.45101129734380746,0.5068912710566615,0.5127807900852053,0.5011355034065103,0.5360201937456055,0.7390461419154711,0.7937184955409073,0.6903712044411505,0.6903210411097441,0.005312961481029262,114.55030846595764,,188,52,27.659574468085108
TextCNN,joint,A0,0.3239781133281654,0.2717045031140813,0.4560138847779799,0.6227998916869754,0.5456702253855279,0.7253232418795332,0.5961462000621454,0.7608097975506124,0.8022994251437141,0.7137793405555863,0.7061937441026379,0.003703861268725372,107.68900537490845,,188,70,37.234042553191486
TextCNN,joint,G0,0.34479743715297323,0.29178548254273,0.4946305186813379,0.5565945568736915,0.4730723606168446,0.6759322033898305,0.5414163620518709,0.7445638590352411,0.7920519870032492,0.6916917356191892,0.6847978024227813,0.004223678123022436,88.21308422088623,,188,50,26.595744680851062
TextCNN,joint,B1,0.3581092655984454,0.31783356794859596,0.4781085257671327,0.5841718792493881,0.5096085409252669,0.6842943612615483,0.5685312190617118,0.7683079230192452,0.8155461134716321,0.7144338670136564,0.7081784151313942,0.004065472993453764,109.80002975463867,,188,48,25.53191489361702
TextCNN,joint,G1,0.3176402932228282,0.28366403962079134,0.43028619690415165,0.5111274150158963,0.4958481613285884,0.527378248801413,0.550583418383149,0.7633091727068233,0.802049487628093,0.7082116120754413,0.7021991339435801,0.005315160571559238,102.7992696762085,,188,59,31.382978723404253
TextCNN,joint,B2,0.3461975080614253,0.3252849301963411,0.4401230417730106,0.46583977226514844,0.5435349940688019,0.4075787226472158,0.5795777039332131,0.7818045488627843,0.8207948012996751,0.7286822099952198,0.722778026103268,0.0069849558886874025,133.927494764328,,188,52,27.659574468085108
TextCNN,tram,A0,0.6407232729904664,0.553608794952334,0.8067318842823838,0.6884576098059244,0.6175931582162493,0.7776923076923077,0.6794956995170235,0.8911516853932584,0.9262640449438202,0.8407971108035909,0.8254639474189368,0.012851123595505618,38.906115770339966,,50,1,2.0
TextCNN,tram,G0,0.6491295396878789,0.5779187599727263,0.7697870695925849,0.6978664831383344,0.6194257788637751,0.7990543735224587,0.6920001669785567,0.8904494382022472,0.9164325842696629,0.8534651799400957,0.8334761335014873,0.012331460674157304,52.321778774261475,,50,1,2.0
TextCNN,tram,B1,0.6532889666412453,0.592796178942725,0.7627277994513781,0.7013865404125803,0.6334758704948076,0.7856060606060606,0.6950649413863147,0.8967696629213483,0.9290730337078652,0.8517760730322443,0.8356060907730226,0.012401685393258427,52.1637601852417,,50,1,2.0
TextCNN,tram,G1,0.6420686930449346,0.5809095063577139,0.7666327847196935,0.6831247886371322,0.6169822846670739,0.7651515151515151,0.6885128956734349,0.8967696629213483,0.9248595505617978,0.8601588534640068,0.841453956206174,0.013160112359550561,65.5801784992218,,50,1,2.0
TextCNN,tram,B2,0.6380507020089701,0.6284305769510056,0.6711191095976562,0.6882389545737398,0.6756261453879047,0.7013316423589093,0.6900977141430646,0.9101123595505618,0.9311797752808989,0.8568101234935988,0.8416417247731516,0.014073033707865168,62.41096544265747,,50,1,2.0
