model,dataset,scenario,group,n_labels,mean_precision,mean_recall,mean_f1,median_f1,f1_zero_pct,total_test_support
DistilBERT,cti-mitre,G1,Head,30,0.8139272227271116,0.8222088425618516,0.8151960005409986,0.8179054054054054,0.0,1426
DistilBERT,cti-mitre,G1,Medium,89,0.7459957531120078,0.6509379592883807,0.681882017605525,0.7058823529411765,1.1235955056179776,973
DistilBERT,cti-mitre,G1,Tail,69,0.5398550724637681,0.3541062801932366,0.4051237007758747,0.5,39.130434782608695,183
DistilBERT,cti-mitre,B2,Head,30,0.8124790521703102,0.8189673274302003,0.8126243575416046,0.8230263157894737,0.0,1426
DistilBERT,cti-mitre,B2,Medium,89,0.7570067100457796,0.6468414410858537,0.6824765829890451,0.7058823529411765,1.1235955056179776,973
DistilBERT,cti-mitre,B2,Tail,69,0.5108695652173914,0.3072463768115942,0.3652173913043478,0.4,40.57971014492754,183
DistilBERT,joint,A0,Head,45,0.8021340735097382,0.7717050199758568,0.782485998920747,0.7916666666666666,0.0,3258
DistilBERT,joint,A0,Medium,77,0.8009418293700188,0.5133552556655769,0.5965991225276986,0.6,1.2987012987012987,785
DistilBERT,joint,A0,Tail,66,0.3522727272727273,0.155050505050505,0.2029581529581529,0.0,62.121212121212125,172
DistilBERT,joint,G0,Head,45,0.8155188804756294,0.7618336164484116,0.7837966475552285,0.785234899328859,0.0,3258
DistilBERT,joint,G0,Medium,77,0.7795538511733424,0.5741196962830593,0.6428521662367328,0.6666666666666666,0.0,785
DistilBERT,joint,G0,Tail,66,0.6435064935064936,0.4669191919191919,0.513496436223709,0.5357142857142857,27.27272727272727,172
DistilBERT,joint,B1,Head,45,0.8190079699553503,0.7651909481938949,0.7870474772573649,0.7894736842105263,0.0,3258
DistilBERT,joint,B1,Medium,77,0.8011289764043976,0.5868166530059898,0.657841662243717,0.6666666666666666,0.0,785
DistilBERT,joint,B1,Tail,66,0.5611832611832612,0.4156565656565656,0.453623901351174,0.5,34.84848484848485,172
DistilBERT,joint,G1,Head,45,0.8033425574817514,0.7867729517888216,0.7925074291675392,0.8,0.0,3258
DistilBERT,joint,G1,Medium,77,0.7680408238905775,0.6075662281062143,0.6644933146973088,0.7,0.0,785
DistilBERT,joint,G1,Tail,66,0.6116883116883116,0.4227272727272727,0.4754132231404958,0.5,31.818181818181817,172
DistilBERT,joint,B2,Head,45,0.8316941183645312,0.7783767913128417,0.8008712415064337,0.8141592920353983,0.0,3258
DistilBERT,joint,B2,Medium,77,0.8082125685509143,0.5969214369590309,0.6677237706091343,0.7,1.2987012987012987,785
DistilBERT,joint,B2,Tail,66,0.5595959595959595,0.3898989898989899,0.4383116883116882,0.5,36.36363636363637,172
DistilBERT,tram,A0,Head,22,0.8351053799771687,0.8167594634503108,0.824171063239272,0.8382695735636911,0.0,1258
DistilBERT,tram,A0,Medium,25,0.84332316468324,0.7611537039410239,0.7898797059355753,0.8,0.0,370
DistilBERT,tram,A0,Tail,3,0.6666666666666666,0.3055555555555555,0.4000000000000001,0.4,33.33333333333333,9
DistilBERT,tram,G0,Head,22,0.8686900229438141,0.7736557774453993,0.8162885698458839,0.8181818181818182,0.0,1258
DistilBERT,tram,G0,Medium,25,0.8820611880110737,0.742713614334694,0.7902244225079541,0.8125,0.0,370
DistilBERT,tram,G0,Tail,3,0.8333333333333334,0.6388888888888888,0.7111111111111111,0.8,0.0,9
DistilBERT,tram,B1,Head,22,0.8411315454257945,0.8124930565351665,0.824778004559427,0.8255578093306288,0.0,1258
DistilBERT,tram,B1,Medium,25,0.8584003610424663,0.7913742454132816,0.8152146146227931,0.8421052631578947,0.0,370
DistilBERT,tram,B1,Tail,3,1.0,0.6388888888888888,0.7333333333333334,0.8,0.0,9
DistilBERT,tram,G1,Head,22,0.8720549102428912,0.8163606702220421,0.841033949598038,0.8484517304189435,0.0,1258
DistilBERT,tram,G1,Medium,25,0.8856873133402545,0.7515824530982694,0.8001977028831803,0.8,0.0,370
DistilBERT,tram,G1,Tail,3,0.6666666666666666,0.3055555555555555,0.4000000000000001,0.4,33.33333333333333,9
DistilBERT,tram,B2,Head,22,0.8303640629333057,0.8321563687098138,0.8292835839476198,0.8222811671087533,0.0,1258
DistilBERT,tram,B2,Medium,25,0.8557774728195782,0.7685646304757894,0.7974865147458652,0.8333333333333334,0.0,370
DistilBERT,tram,B2,Tail,3,0.6666666666666666,0.3055555555555555,0.4000000000000001,0.4,33.33333333333333,9
ModernBERT,cti-mitre,A0,Head,30,0.8004564029271963,0.7724170249293045,0.7805612620556218,0.8,0.0,1426
ModernBERT,cti-mitre,A0,Medium,89,0.7573662965032613,0.5210602007264796,0.590649987038858,0.631578947368421,2.247191011235955,973
ModernBERT,cti-mitre,A0,Tail,69,0.3202898550724637,0.1277777777777777,0.1746031746031746,0.0,65.21739130434783,183
ModernBERT,cti-mitre,G0,Head,30,0.7934415641775145,0.75642100304417,0.7665911799581039,0.781304347826087,0.0,1426
ModernBERT,cti-mitre,G0,Medium,89,0.6834028687820803,0.5765754899144319,0.6012763509563385,0.625,2.247191011235955,973
ModernBERT,cti-mitre,G0,Tail,69,0.4214975845410627,0.3082125603864734,0.3369335173683,0.2857142857142857,46.3768115942029,183
ModernBERT,cti-mitre,B1,Head,30,0.807164173819644,0.7712005373858941,0.7853334398840611,0.8064717418434659,0.0,1426
ModernBERT,cti-mitre,B1,Medium,89,0.757738705051846,0.5723728177343904,0.630433786078963,0.6666666666666666,2.247191011235955,973
ModernBERT,cti-mitre,B1,Tail,69,0.5155969634230504,0.321256038647343,0.3788819875776397,0.5,40.57971014492754,183
ModernBERT,cti-mitre,G1,Head,30,0.8029604790581893,0.7985025090413648,0.7971186112827756,0.8110119047619048,0.0,1426
ModernBERT,cti-mitre,G1,Medium,89,0.7146462071659256,0.6074310182960537,0.6392463411833452,0.6666666666666666,3.3707865168539324,973
ModernBERT,cti-mitre,G1,Tail,69,0.4384057971014493,0.2688405797101449,0.3171842650103519,0.3333333333333333,47.82608695652174,183
ModernBERT,cti-mitre,B2,Head,30,0.8331927160143501,0.7734413789348877,0.797108045180683,0.8207949696833595,0.0,1426
ModernBERT,cti-mitre,B2,Medium,89,0.7614946047177238,0.5842100617060348,0.6400032571834458,0.6666666666666666,3.3707865168539324,973
ModernBERT,cti-mitre,B2,Tail,69,0.4654589371980676,0.2657004830917874,0.3208419599723947,0.2857142857142857,46.3768115942029,183
ModernBERT,joint,A0,Head,45,0.8183776261296051,0.7471712402776339,0.7751933207798641,0.7759562841530054,0.0,3258
ModernBERT,joint,A0,Medium,77,0.7810160741335603,0.4582262906835702,0.5581043944064716,0.5882352941176471,5.194805194805195,785
ModernBERT,joint,A0,Tail,66,0.3623737373737373,0.1691919191919191,0.2202741702741702,0.0,62.121212121212125,172
ModernBERT,joint,G0,Head,45,0.8073563204069252,0.7306275764880078,0.7614487533089341,0.7722772277227723,0.0,3258
