Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1498,26,Medium,78,3,6,0,3,6,0.0,0.0,0.0,0.49,True
T1499,39,Medium,78,5,10,0,3,10,0.0,0.0,0.0,0.49,True
T1505,55,Medium,78,7,14,3,0,11,1.0,0.21428571428571427,0.35294117647058826,0.49,True
T1518,146,Head,128,18,37,18,12,19,0.6,0.4864864864864865,0.5373134328358209,0.49,True
T1525,5,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1526,5,Tail,78,1,1,0,4,1,0.0,0.0,0.0,0.49,True
T1528,10,Tail,78,1,2,0,2,2,0.0,0.0,0.0,0.49,True
T1529,13,Tail,78,2,3,1,1,2,0.5,0.3333333333333333,0.4,0.49,True
T1530,7,Tail,78,1,2,0,1,2,0.0,0.0,0.0,0.49,True
T1531,4,Tail,78,1,1,0,2,1,0.0,0.0,0.0,0.49,True
T1534,8,Tail,78,1,2,0,1,2,0.0,0.0,0.0,0.49,True
T1535,6,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1537,3,Tail,78,0,1,0,0,1,0.0,0.0,0.0,0.49,True
T1538,3,Tail,78,0,1,0,0,1,0.0,0.0,0.0,0.49,True
T1539,14,Tail,78,2,4,2,1,2,0.6666666666666666,0.5,0.5714285714285715,0.49,True
T1542,33,Medium,78,4,8,1,0,7,1.0,0.125,0.2222222222222222,0.49,True
T1543,207,Head,182,26,52,31,16,21,0.6595744680851063,0.5961538461538461,0.6262626262626262,0.49,True
T1546,139,Head,122,17,35,5,0,30,1.0,0.14285714285714285,0.25,0.49,True
T1547,386,Head,338,48,96,53,16,43,0.7681159420289855,0.5520833333333334,0.6424242424242425,0.49,True
T1548,105,Head,92,13,26,10,2,16,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.49,True
T1550,50,Medium,78,6,13,3,5,10,0.375,0.23076923076923078,0.2857142857142857,0.49,True
T1552,98,Medium,86,12,25,6,2,19,0.75,0.24,0.36363636363636365,0.49,True
T1553,112,Head,98,14,28,5,0,23,1.0,0.17857142857142858,0.30303030303030304,0.49,True
T1554,13,Tail,78,2,3,2,2,1,0.5,0.6666666666666666,0.5714285714285715,0.49,True
T1555,113,Head,99,14,28,11,8,17,0.5789473684210527,0.39285714285714285,0.46808510638297873,0.49,True
T1556,34,Medium,78,4,8,1,2,7,0.3333333333333333,0.125,0.18181818181818182,0.49,True
T1557,35,Medium,78,4,9,3,2,6,0.6,0.3333333333333333,0.42857142857142855,0.49,True
T1558,42,Medium,78,5,11,3,1,8,0.75,0.2727272727272727,0.39999999999999997,0.49,True
T1559,38,Medium,78,5,10,1,1,9,0.5,0.1,0.16666666666666669,0.49,True
T1560,112,Head,98,14,28,6,5,22,0.5454545454545454,0.21428571428571427,0.30769230769230765,0.49,True
T1561,25,Medium,78,3,6,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.49,True
T1562,263,Head,231,33,66,24,19,42,0.5581395348837209,0.36363636363636365,0.4403669724770642,0.49,True
T1563,18,Tail,78,2,5,0,3,5,0.0,0.0,0.0,0.49,True
T1564,160,Head,140,20,40,16,7,24,0.6956521739130435,0.4,0.507936507936508,0.49,True
T1565,18,Tail,78,2,5,1,2,4,0.3333333333333333,0.2,0.25,0.49,True
T1566,277,Head,244,35,69,45,6,24,0.8823529411764706,0.6521739130434783,0.75,0.49,True
